rank,id,name,category,klass,evidenceType,evi,hum,imp,safe,overall,tier,mechanism,evidence,effect,human,safety,dose,status,accessibility,caveats,hallmarks,keyStudies,sources
11,vitamin-d3,Vitamin D3,supplement,Secosteroid / fat-soluble vitamin,human-rct-hard,80,82,42,88,74,A,"VDR-mediated gene regulation; calcium, immune and possible telomere/inflammation effects","Large RCTs (VITAL, ASCEND) show 2000 IU/d does not reduce total cancer, CV events or all-cause mortality in mostly-replete people. Meta-analyses show a modest ~12% reduction in cancer MORTALITY and lower autoimmune disease. Benefit concentrated in the deficient.","Total cancer mortality RR 0.87 (95% CI 0.79-0.96), ~13% lower (daily dosing); no effect on cancer incidence (RR 0.98, 95% CI 0.93-1.03); negligible CV/all-cause in replete people — Keum Ann Oncol 2019",Definitive RCTs: neutral for most hard endpoints except modest cancer-mortality signal,Safe at <=4000 IU/d; high bolus dosing raises fall/fracture risk,1000-2000 IU/day; correct deficiency,Ubiquitous OTC vitamin,otc,Benefit largely limited to deficient people; routine high-dose in replete adults shows no mortality benefit,Chronic inflammation; Altered intercellular communication; Telomere attrition,"VITAL, NEJM 2019 (n=25,871) — No reduction in cancer incidence or major CV events [https://pubmed.ncbi.nlm.nih.gov/30415629/] | Keum et al. meta-analysis — Daily vitamin D cut cancer mortality ~12-13% [https://pubmed.ncbi.nlm.nih.gov/30796437/]",https://pubmed.ncbi.nlm.nih.gov/30415629/ | https://pubmed.ncbi.nlm.nih.gov/30796437/
12,hiit,High-Intensity Interval Training,exercise,Interval exercise,human-rct-hard,70,78,65,82,74,A,"Brief near-maximal efforts maximally stress cardiac output and mitochondria, producing potent VO2max gains per unit time","The Generation 100 RCT (n=1,567, age 70-77, 5 yr) found overall mortality did not differ significantly, but the HIIT subgroup had the lowest (non-significant) mortality and best VO2max/quality-of-life gains. HIIT reliably outperforms moderate training for raising VO2max.",Non-significant mortality reduction; superior VO2max gains,One large RCT (underpowered for mortality) + many fitness RCTs,Safe in older adults under guidance; higher acute risk than moderate exercise,"e.g. 4x4 min at 85-95% max HR, ~2x/wk",Established for fitness; mortality suggestive,lifestyle,Flagship RCT underpowered for mortality with an active control; clearest benefit is VO2max,Mitochondrial dysfunction; Deregulated nutrient sensing; Chronic inflammation,"Stensvold et al., BMJ 2020 (Gen100) — HIIT subgroup ~3% vs ~4.7-6% control mortality (NS); best fitness gains [https://pubmed.ncbi.nlm.nih.gov/33028588/]",https://pubmed.ncbi.nlm.nih.gov/33028588/
13,social-connection,Social Connection,lifestyle,Psychosocial determinant,human-cohort,66,78,60,95,74,A,"Strong social ties buffer chronic stress, lower inflammatory/neuroendocrine load and promote healthy behaviors","Holt-Lunstad's meta-analyses found strong social relationships associated with ~50% greater survival odds, with isolation/loneliness raising mortality ~26-32% — effect sizes rivaling smoking. Observational; intervention trials aren't powered for mortality.","Stronger social ties: OR 1.50 (95% CI 1.42-1.59) for survival, rising to OR 1.91 (95% CI 1.63-2.23) for complex social integration — Holt-Lunstad PLoS Med 2010 (148 studies, n=308,849)",Large meta-analytic cohort data; no mortality-powered RCT,No risk,Regular meaningful relationships and community engagement,Established risk factor (Surgeon General advisory),lifestyle,Observational; reverse causation/confounding; causal mortality reduction not shown by RCT,Chronic inflammation; Altered intercellular communication,"Holt-Lunstad et al., PLOS Med 2010 (148 studies) — Strong ties ~50% higher survival odds (OR 1.50) [https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1000316] | Holt-Lunstad et al., Perspect Psychol Sci 2015 — Isolation OR 1.29, loneliness 1.26, living alone 1.32 (~26-32% higher mortality) [https://doi.org/10.1177/1745691614568352]",https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1000316 | https://doi.org/10.1177/1745691614568352
14,statins,Statins,pharma,HMG-CoA reductase inhibitors,human-rct-hard,86,80,45,75,73,A,Lower LDL cholesterol; pleiotropic anti-inflammatory/endothelial effects,"Backed by very large RCTs and CTT meta-analyses with hard endpoints: ~10% lower all-cause mortality per 1 mmol/L LDL drop, mainly in secondary prevention. Benefit in low-risk primary prevention and the very elderly is smaller. Targets cardiovascular disease, not aging per se.","All-cause mortality RR 0.90 (95% CI 0.87-0.93) and major vascular events RR 0.78 (95% CI 0.76-0.80) per 1 mmol/L LDL-C reduction — CTT Lancet 2010 (26 trials, n~170,000)",Strong for CV mortality; modest/uncertain in low-risk primary prevention,"Generally safe; myalgia, rare myopathy, small diabetes risk",Disease-based dosing,FDA-approved (dyslipidaemia/CV prevention),rx,Targets atherosclerosis not aging broadly; benefit risk-dependent; not a validated geroprotector,Chronic inflammation; Altered intercellular communication,"CTT, Lancet 2010 (>170k) — ~10% lower all-cause mortality per 1 mmol/L LDL reduction [https://doi.org/10.1016/S0140-6736(10)61350-5] | JUPITER, NEJM 2008 — Rosuvastatin cut all-cause mortality HR 0.80 in high-CRP adults [https://doi.org/10.1056/NEJMoa0807646]",https://doi.org/10.1016/S0140-6736(10)61350-5 | https://doi.org/10.1056/NEJMoa0807646
15,semaglutide,Semaglutide,pharma,GLP-1 receptor agonist,human-rct-hard,84,80,55,68,73,A,"Activates GLP-1 receptors to reduce appetite/weight, improve glucose control and lower inflammation",Genuine large-RCT hard outcomes: SELECT cut major cardiovascular events 20% in non-diabetic adults with obesity and prior CVD — the first proof that treating obesity pharmacologically improves CV outcomes. Untested for lifespan; concerns include muscle-mass loss and weight regain on stopping.,"MACE HR 0.80 (95% CI 0.72-0.90), 20% lower, in non-diabetic obesity; mean weight -9.4% vs -0.9% placebo — SELECT (Lincoff NEJM 2023), n=17,604",Strong CV hard-outcome RCT; no aging-endpoint trial,"GI effects, pancreatitis/gallbladder risk, lean-mass loss, weight regain after stopping; rodent thyroid signal",2.4 mg SC weekly (obesity),FDA-approved (diabetes/obesity/CV),rx,No aging-specific evidence; muscle loss; dependence on continued use,Deregulated nutrient sensing; Chronic inflammation; Altered intercellular communication,"SELECT, NEJM 2023 (n=17,604) — MACE HR 0.80 in non-diabetic obesity; ~9% weight loss [https://doi.org/10.1056/NEJMoa2307563]",https://doi.org/10.1056/NEJMoa2307563
16,rapamycin,Rapamycin,pharma,mTOR inhibitor,animal-itp,88,52,86,60,72,A,"Inhibits mTORC1, mimicking caloric restriction and inducing autophagy","The most reproducible pharmacological lifespan extender in animals and the standout of the NIA Interventions Testing Program, working even when started late in life. Human trials (PEARL, RTB101) show safety and immune/biomarker effects but no lifespan data.","+10-26% median lifespan (mice, dose-dependent)",Phase-2 safety/biomarker RCTs; widely used off-label; no lifespan RCT,"Generally safe at low intermittent doses; immunosuppression, mouth sores, glucose/lipid effects at higher doses",~5-6 mg once weekly (off-label longevity protocols),FDA-approved (transplant); off-label for longevity,rx,No human lifespan RCT; optimal dose/schedule unresolved — most-hyped longevity drug yet thin human proof,Deregulated nutrient sensing; Disabled macroautophagy; Cellular senescence; Loss of proteostasis,"Harrison et al., Nature 2009 (ITP) — First drug to extend mouse lifespan started in old age; +9% male/+14% female at age of 90% mortality [https://doi.org/10.1038/nature08221] | Miller et al., Aging Cell 2014 (ITP) — Dose-dependent median lifespan +23% male/+26% female at 42 ppm [https://doi.org/10.1111/acel.12194] | PEARL RCT 2024 (n=114) — Low-dose weekly rapamycin safe over 48 weeks; lean-mass/pain gains in women [https://www.medrxiv.org/content/10.1101/2024.08.21.24312372v1]",https://doi.org/10.1038/nature08221 | https://doi.org/10.1111/acel.12194 | https://www.medrxiv.org/content/10.1101/2024.08.21.24312372v1
17,caloric-restriction,Caloric Restriction,diet,Sustained energy restriction,human-rct-surrogate,74,70,76,64,71,A,"Lowers nutrient-sensing (insulin/IGF-1, mTOR), induces autophagy and stress resistance","The most-studied lifespan intervention in animals. In humans, the CALERIE-2 RCT (~12% restriction, 2 yr) slowed the DunedinPACE pace-of-aging clock, reduced cardiometabolic risk and regenerated thymic volume — but on surrogate endpoints, with low adherence to deep restriction.",Large in animals; modest biological-age slowing in humans,Landmark RCT (surrogate) + primate studies,"Risk of muscle/bone loss, hunger, cold intolerance, disordered eating if overdone",~12-15% sustained reduction with adequate protein/micronutrients,Lifestyle / investigational,lifestyle,Hard-outcome human benefit unproven; sustained deep restriction has low adherence,Deregulated nutrient sensing; Chronic inflammation; Disabled macroautophagy; Stem cell exhaustion; Epigenetic alterations,"Waziry et al., Nat Aging 2023 (CALERIE-2) — Slowed DunedinPACE ~2-3% over 2 years [https://doi.org/10.1038/s43587-022-00357-y] | Spadaro/Dixit, Science 2022 — Increased thymic functional volume [https://doi.org/10.1126/science.abg7292]",https://doi.org/10.1038/s43587-022-00357-y | https://doi.org/10.1126/science.abg7292
18,nut-consumption,Nut Consumption,diet,"Whole food (unsaturated fat, fiber, polyphenols)",human-rct-hard,68,70,55,93,71,A,"Unsaturated fats, fiber, plant protein, magnesium and polyphenols lower LDL, improve endothelial function/insulin sensitivity and reduce inflammation","Large cohorts (Bao 2013 ~119k; Aune 2016 meta ~819k) show ~20% lower all-cause mortality with regular intake, and PREDIMED randomized high-CV-risk adults to a Mediterranean diet plus mixed nuts with a hard CV-event reduction. Limitation: mortality data are observational, and the RCT tests a whole pattern (with added nuts), not nuts in isolation.","~20-22% lower all-cause mortality (HR 0.80, 95% CI 0.73-0.86); RCT CV events HR 0.72 (0.54-0.97)",Strong cohort mortality data plus an RCT with hard cardiovascular endpoints,Very safe; calorie-dense but no net weight gain at typical portions; tree-nut/peanut allergy is the one contraindication,~28 g/day (a small handful),Endorsed by dietary guidelines; component of the Mediterranean pattern,otc,Mortality figures observational; the hard-endpoint RCT (PREDIMED) tests a whole pattern not nuts alone (and was retracted/re-analyzed 2018),Chronic inflammation; Deregulated nutrient sensing; Mitochondrial dysfunction,"Bao et al., NEJM 2013 (NHS+HPFS, n=118,962) — Nuts 7+/wk vs never: total mortality HR 0.80 (95% CI 0.73-0.86) [https://pubmed.ncbi.nlm.nih.gov/24256379/] | Aune et al., BMC Medicine 2016 (20 studies, n=819,448) — Per 28 g/day: all-cause mortality RR 0.78 (95% CI 0.72-0.84) [https://pmc.ncbi.nlm.nih.gov/articles/PMC5137221/]",https://pubmed.ncbi.nlm.nih.gov/24256379/ | https://pmc.ncbi.nlm.nih.gov/articles/PMC5137221/
19,dietary-fiber,Dietary Fiber,diet,Fermentable/viscous carbohydrate (microbiome substrate),human-cohort,66,66,58,93,70,A,"Fermentable fiber feeds gut microbiota producing anti-inflammatory short-chain fatty acids (butyrate); viscous fiber slows glucose absorption, binds bile acids to lower LDL, and increases satiety",The WHO-commissioned Reynolds (Lancet 2019) synthesis pooled ~135 million person-years across 185 prospective studies plus 58 RCTs and found the highest fiber consumers had 15-30% lower all-cause and CV mortality with a near-linear dose-response judged potentially causal (GRADE moderate). Mortality outcomes are predominantly observational; the included RCTs measured intermediate cardiometabolic markers.,~15-30% lower all-cause mortality (highest vs lowest intake); large cohorts converge near RR 0.78,"Strong, consistent observational mortality evidence; RCTs support only intermediate markers",Very safe; GI tolerance the main issue if increased too fast (escalate gradually with fluids),"~25-29 g/day or more (most adults get only ~15-20 g) from whole grains, legumes, vegetables, fruit",Core dietary-guideline recommendation,lifestyle,Mortality evidence mostly observational with likely healthy-user confounding; RCT support limited to cardiometabolic surrogates,Dysbiosis; Chronic inflammation; Deregulated nutrient sensing,"Reynolds et al., Lancet 2019 (WHO meta-analysis) — Highest vs lowest fiber: 15-30% lower all-cause + CV mortality; ~13 fewer deaths/1,000 [https://pubmed.ncbi.nlm.nih.gov/30638909/] | Park et al. (NIH-AARP, n=388,122), Arch Intern Med 2011 — Highest vs lowest quintile all-cause mortality RR ~0.78 (95% CI 0.73-0.82) [https://pmc.ncbi.nlm.nih.gov/articles/PMC3513325/]",https://pubmed.ncbi.nlm.nih.gov/30638909/ | https://pmc.ncbi.nlm.nih.gov/articles/PMC3513325/
20,creatine,Creatine,supplement,Phosphagen substrate,human-rct-surrogate,70,72,45,90,69,A,"Replenishes phosphocreatine/ATP in muscle and brain, supporting energy availability",Among the best-evidenced supplements for the aging musculoskeletal system: meta-analyses show creatine PLUS resistance training increases strength and lean mass in older adults more than training alone — relevant to sarcopenia. Cognitive benefits are plausible but unsettled.,Meaningful added strength/lean-mass with training; cognition uncertain,Robust RCT/meta-analytic evidence for muscle (with training),"Very safe, extensively studied; mild water-weight gain; no kidney harm in healthy people",3-5 g/day,OTC supplement,otc,Muscle benefit largely requires concurrent resistance training; not a standalone longevity drug,Mitochondrial dysfunction; Stem cell exhaustion; Loss of proteostasis,"Meta-analyses, creatine + RT in older adults — Greater strength/lean-mass gains vs training + placebo [https://doi.org/10.1186/s11556-025-00392-9]",https://doi.org/10.1186/s11556-025-00392-9
21,polypill,Cardiovascular Polypill,pharma,Fixed-dose combination (statin + antihypertensives +/- aspirin),human-rct-hard,80,66,55,72,69,A,"One daily tablet lowers LDL and blood pressure (plus antiplatelet if aspirin included), maximizing long-term adherence","Large randomized trials with hard CV endpoints converge on ~30% fewer major cardiovascular events: TIPS-3 (n=5,713, placebo-controlled primary prevention) and PolyIran (50,045, pragmatic cluster-RCT), pooled RR 0.71. Its innovation is adherence/simplicity, not a novel mechanism, and all-cause mortality was not individually significant.","~21-34% fewer major CV events (pooled RR 0.71, 95% CI 0.63-0.80); all-cause mortality not individually significant",Strong hard-outcome RCT evidence for CV-event reduction in primary prevention,Well tolerated; modest excess dizziness/hypotension; aspirin versions carry bleeding risk,One daily fixed-dose tablet (statin + 2-3 antihypertensives +/- low-dose aspirin),Marketed in several countries; on the WHO Essential Medicines List,rx,"Proven on CV events not all-cause mortality; an adherence/packaging strategy over drug classes already listed separately (statins, ACEi/ARBs)",Chronic inflammation; Altered intercellular communication,"Yusuf et al. (TIPS-3), NEJM 2021 — Primary CV composite HR 0.79 (95% CI 0.63-1.00); polypill+aspirin HR 0.69 (0.50-0.97) [https://pubmed.ncbi.nlm.nih.gov/33186492/] | Roshandel et al. (PolyIran), Lancet 2019 — Major CV events HR 0.66 (95% CI 0.55-0.80); high-adherence HR 0.43 (0.33-0.55) [https://pubmed.ncbi.nlm.nih.gov/31448738/]",https://pubmed.ncbi.nlm.nih.gov/33186492/ | https://pubmed.ncbi.nlm.nih.gov/31448738/
